Route_No,Bus_Model,Fuel_Type,Avg_Speed_kmph,Fuel_Consumed_Liters,Distance_Covered_km,Year,Destination,No_of_Buses_in_Route
213K,Volvo 9400XL,Diesel,37.1,59.55,160.8,2025,Banerghatta,11
60A,Volvo 9400XL,Diesel,43.2,23.95,77.7,2025,Indiranagar,53
43E,Volvo 9400XL,Diesel,43.2,42.79,156.1,2025,Hebbal,16
279F,Ashok Leyland Viking,Diesel,40.3,35.15,95,2025,Peenya,44
252H,Switch EiV 12,Electric,41.4,0,225.3,2025,Bommanahalli,72
365B,Volvo 9400XL,Diesel,26.7,104.62,270.5,2025,Silk Board,15
348C,Ashok Leyland Viking,Diesel,31.5,42.54,122.1,2025,Marathahalli,35
279F,Eicher Skyline Pro,CNG,31.2,76.12,259.4,2025,Peenya,48
356C,Volvo 9400XL,Diesel,36.2,61.96,227.1,2025,Majestic,51
348C,Ashok Leyland Viking,Diesel,37.2,29.17,74.4,2025,Marathahalli,11
43E,Eicher Skyline Pro,CNG,47.7,23,73.8,2025,Hebbal,76
500D,Volvo 8400 B7RLE,Diesel,35.3,58.62,177.1,2025,Whitefield,70
43E,Switch EiV 12,Electric,25.5,0,258,2025,Hebbal,73
96E,Tata Marcopolo,CNG,49.1,53.64,206,2025,Electronic City,52
348C,Volvo 8400 B7RLE,Diesel,26.3,85.07,266.1,2025,Marathahalli,65
252H,Switch EiV 12,Electric,43.3,0,117.2,2025,Bommanahalli,50
77E,Switch EiV 12,Electric,31.4,0,275.9,2025,KR Puram,44
600A,Ashok Leyland Viking,Diesel,30,60.9,203.9,2025,Banashankari,80
96E,Switch EiV 12,Electric,49.3,0,162.1,2025,Electronic City,22
252H,Volvo 9400XL,Diesel,33.7,72.59,193.9,2025,Bommanahalli,26
K1,Switch EiV 12,Electric,30.6,0,93.3,2025,Koramangala,58
600A,Volvo 9400XL,Diesel,46.3,34.47,115.2,2025,Banashankari,43
43E,Volvo 8400 B7RLE,Diesel,27.9,46.2,175.1,2025,Hebbal,76
356C,Switch EiV 12,Electric,26.7,0,219,2025,Majestic,72
252H,Eicher Skyline Pro,CNG,38.6,69.08,215.7,2025,Bommanahalli,43
279F,Volvo 8400 B7RLE,Diesel,37.1,58.5,160.8,2025,Peenya,71
279F,Volvo 9400XL,Diesel,46.2,76.52,268.1,2025,Peenya,28
401A,Tata Marcopolo,CNG,35.3,40.66,161.7,2025,RT Nagar,18
365B,Switch EiV 12,Electric,26.6,0,180,2025,Silk Board,44
348C,Volvo 9400XL,Diesel,45.2,54.19,172.8,2025,Marathahalli,52
213K,Ashok Leyland Viking,Diesel,44.7,25.48,71.4,2025,Banerghatta,14
96E,Tata Marcopolo,CNG,29.1,33.44,116.9,2025,Electronic City,56
210N,Switch EiV 12,Electric,38,0,226.5,2025,Jayanagar,80
43E,Tata Marcopolo,CNG,46.9,24.33,105.1,2025,Hebbal,10
600A,Eicher Skyline Pro,CNG,31,68.4,251.5,2025,Banashankari,43
K1,Volvo 9400XL,Diesel,44.3,108.9,276.7,2025,Koramangala,46
60A,Tata Marcopolo,CNG,36.6,17.03,74.3,2025,Indiranagar,13
96E,Eicher Skyline Pro,CNG,37.4,56.52,178.5,2025,Electronic City,64
60A,Eicher Skyline Pro,CNG,45.6,57.27,204.5,2025,Indiranagar,61
500D,Switch EiV 12,Electric,49.1,0,230.6,2025,Whitefield,12
600A,Ashok Leyland Viking,Diesel,38.1,35.76,104.8,2025,Banashankari,41
V500C,Ashok Leyland Viking,Diesel,39.4,67.91,234.4,2025,ITPL,77
348C,Volvo 8400 B7RLE,Diesel,34.9,60.81,235.5,2025,Marathahalli,11
201R,Volvo 9400XL,Diesel,28.9,50.03,177.3,2025,Yelahanka,44
401A,Volvo 9400XL,Diesel,32.9,61.94,234.5,2025,RT Nagar,28
215K,Eicher Skyline Pro,CNG,31.9,57.96,259.4,2025,Kengeri,38
210N,Volvo 8400 B7RLE,Diesel,30.1,32.78,91,2025,Jayanagar,74
43E,Tata Marcopolo,CNG,41.4,79.52,256.7,2025,Hebbal,17
43E,Volvo 8400 B7RLE,Diesel,40.4,59.77,156.9,2025,Hebbal,58
210N,Tata Marcopolo,CNG,45.1,67.62,254.1,2025,Jayanagar,46
500D,Volvo 8400 B7RLE,Diesel,35.4,68.61,272.8,2025,Whitefield,36
12G,Volvo 8400 B7RLE,Diesel,40.9,75.27,206.9,2025,BTM Layout,32
348C,Eicher Skyline Pro,CNG,35.7,78.31,254,2025,Marathahalli,62
12G,Eicher Skyline Pro,CNG,39,16.57,62.8,2025,BTM Layout,29
290E,Tata Marcopolo,CNG,47.3,69.99,218.3,2025,Mysuru Road,13
12G,Eicher Skyline Pro,CNG,29.7,51.52,220.9,2025,BTM Layout,32
213K,Tata Marcopolo,CNG,38.5,59.08,240.2,2025,Banerghatta,67
252H,Eicher Skyline Pro,CNG,36.8,30.53,129.2,2025,Bommanahalli,40
K1,Volvo 8400 B7RLE,Diesel,33.9,49.67,161,2025,Koramangala,57
348C,Switch EiV 12,Electric,33.4,0,242.2,2025,Marathahalli,75
600A,Switch EiV 12,Electric,42.8,0,98.2,2025,Banashankari,39
500D,Volvo 9400XL,Diesel,27.5,84.52,241.7,2025,Whitefield,38
43E,Ashok Leyland Viking,Diesel,33.7,28.72,91.2,2025,Hebbal,73
V500C,Volvo 9400XL,Diesel,41.3,65.48,224.7,2025,ITPL,21
60A,Tata Marcopolo,CNG,46,37.09,137.5,2025,Indiranagar,69
215K,Tata Marcopolo,CNG,40.9,86.35,275.4,2025,Kengeri,53
365B,Volvo 9400XL,Diesel,33.1,59.16,208.8,2025,Silk Board,27
201R,Volvo 8400 B7RLE,Diesel,29.4,19.9,75.3,2025,Yelahanka,33
210N,Tata Marcopolo,CNG,45.9,32.17,110,2025,Jayanagar,69
348C,Tata Marcopolo,CNG,42.4,53.44,201.4,2025,Marathahalli,27
500D,Eicher Skyline Pro,CNG,30.3,41.71,127.2,2025,Whitefield,40
210N,Switch EiV 12,Electric,41.3,0,126.9,2025,Jayanagar,45
290E,Switch EiV 12,Electric,46.8,0,266.4,2025,Mysuru Road,16
215K,Eicher Skyline Pro,CNG,44.7,57.16,228.5,2025,Kengeri,25
279F,Tata Marcopolo,CNG,47.7,29.28,117.3,2025,Peenya,58
60A,Volvo 9400XL,Diesel,27.8,57.81,183.3,2025,Indiranagar,56
290E,Ashok Leyland Viking,Diesel,46.6,48.58,161.3,2025,Mysuru Road,66
252H,Ashok Leyland Viking,Diesel,49.4,53.9,143.7,2025,Bommanahalli,76
60A,Eicher Skyline Pro,CNG,26.1,37.23,153,2025,Indiranagar,59
213K,Switch EiV 12,Electric,32,0,262,2025,Banerghatta,41
401A,Volvo 8400 B7RLE,Diesel,32.3,64.35,248.8,2025,RT Nagar,40
215K,Volvo 8400 B7RLE,Diesel,45.1,89.39,225.9,2025,Kengeri,78
401A,Volvo 9400XL,Diesel,43.2,91.91,271.8,2025,RT Nagar,19
401A,Volvo 8400 B7RLE,Diesel,32,63.66,242.5,2025,RT Nagar,69
201R,Ashok Leyland Viking,Diesel,42.6,25.61,84.8,2025,Yelahanka,31
500D,Eicher Skyline Pro,CNG,31,26.9,81.2,2025,Whitefield,20
600A,Tata Marcopolo,CNG,32.5,41.85,163.1,2025,Banashankari,73
356C,Volvo 9400XL,Diesel,32.5,34.69,125.4,2025,Majestic,47
43E,Tata Marcopolo,CNG,47.6,16.5,70.6,2025,Hebbal,15
213K,Ashok Leyland Viking,Diesel,39.8,53.9,206.9,2025,Banerghatta,55
96E,Volvo 8400 B7RLE,Diesel,27,35.25,100.8,2025,Electronic City,67
365B,Ashok Leyland Viking,Diesel,25.9,69.59,234.8,2025,Silk Board,66
77E,Volvo 9400XL,Diesel,46.4,85,279,2025,KR Puram,27
210N,Volvo 9400XL,Diesel,45.8,21.77,74,2025,Jayanagar,30
K1,Switch EiV 12,Electric,27.3,0,85.3,2025,Koramangala,63
201R,Eicher Skyline Pro,CNG,41.7,61.29,260.1,2025,Yelahanka,21
348C,Volvo 8400 B7RLE,Diesel,39.3,77.35,253.4,2025,Marathahalli,27
60A,Volvo 9400XL,Diesel,32.9,49.08,154.7,2025,Indiranagar,28
210N,Eicher Skyline Pro,CNG,40,53.08,230.3,2025,Jayanagar,11
201R,Volvo 9400XL,Diesel,40.2,45.69,157.5,2025,Yelahanka,64
213K,Volvo 8400 B7RLE,Diesel,42.6,66.59,190.2,2025,Banerghatta,31
12G,Eicher Skyline Pro,CNG,27.6,48.28,172.7,2025,BTM Layout,17
500D,Switch EiV 12,Electric,41.3,0,167.3,2025,Whitefield,63
348C,Eicher Skyline Pro,CNG,40,65.39,269.1,2025,Marathahalli,38
279F,Ashok Leyland Viking,Diesel,40.9,65.76,171.4,2025,Peenya,80
252H,Tata Marcopolo,CNG,34,31.28,116,2025,Bommanahalli,39
215K,Ashok Leyland Viking,Diesel,28.5,24.01,70,2025,Kengeri,52
77E,Volvo 8400 B7RLE,Diesel,33.3,84.92,273.7,2025,KR Puram,13
600A,Eicher Skyline Pro,CNG,40.3,30.14,103.1,2025,Banashankari,53
252H,Tata Marcopolo,CNG,37.9,35.07,105.5,2025,Bommanahalli,40
12G,Volvo 8400 B7RLE,Diesel,30.5,24.15,61.7,2025,BTM Layout,54
213K,Ashok Leyland Viking,Diesel,33.5,22.62,83.8,2025,Banerghatta,12
500D,Eicher Skyline Pro,CNG,37.8,54.04,185.9,2025,Whitefield,26
600A,Switch EiV 12,Electric,34.9,0,265,2025,Banashankari,53
600A,Ashok Leyland Viking,Diesel,40.4,29.65,79.2,2025,Banashankari,27
290E,Ashok Leyland Viking,Diesel,37.7,35.66,135.9,2025,Mysuru Road,78
60A,Volvo 9400XL,Diesel,42.6,42.26,168.6,2025,Indiranagar,43
12G,Eicher Skyline Pro,CNG,31.9,24.75,88.9,2025,BTM Layout,40
210N,Ashok Leyland Viking,Diesel,35.3,39.57,152.8,2025,Jayanagar,22
252H,Volvo 8400 B7RLE,Diesel,40.2,73.24,217.1,2025,Bommanahalli,74
365B,Eicher Skyline Pro,CNG,48.9,57,241.2,2025,Silk Board,34
401A,Volvo 9400XL,Diesel,40.9,23.4,60.3,2025,RT Nagar,33
96E,Eicher Skyline Pro,CNG,26.5,29.88,116.7,2025,Electronic City,59
356C,Switch EiV 12,Electric,27.9,0,211,2025,Majestic,36
43E,Volvo 9400XL,Diesel,36.4,47.29,144.4,2025,Hebbal,34
77E,Volvo 8400 B7RLE,Diesel,35.5,23.88,86.6,2025,KR Puram,63
213K,Eicher Skyline Pro,CNG,27,21.4,75.6,2025,Banerghatta,23
K1,Volvo 8400 B7RLE,Diesel,41.7,75.95,267.2,2025,Koramangala,58
356C,Volvo 9400XL,Diesel,39.8,55.5,139.6,2025,Majestic,30
215K,Tata Marcopolo,CNG,47.8,51.01,199.9,2025,Kengeri,28
356C,Switch EiV 12,Electric,43.1,0,252.2,2025,Majestic,54
500D,Tata Marcopolo,CNG,47.6,27.91,86.5,2025,Whitefield,79
365B,Volvo 9400XL,Diesel,28.6,70.5,177.5,2025,Silk Board,71
600A,Volvo 9400XL,Diesel,32.4,47.32,152.8,2025,Banashankari,46
43E,Tata Marcopolo,CNG,26.1,58.72,187,2025,Hebbal,80
365B,Tata Marcopolo,CNG,33.6,44.68,182.9,2025,Silk Board,26
12G,Switch EiV 12,Electric,46.1,0,203.5,2025,BTM Layout,56
12G,Ashok Leyland Viking,Diesel,35.7,60.49,212.3,2025,BTM Layout,74
348C,Switch EiV 12,Electric,32.7,0,120.6,2025,Marathahalli,54
252H,Tata Marcopolo,CNG,36.2,55.65,233.6,2025,Bommanahalli,25
43E,Switch EiV 12,Electric,46.4,0,240.9,2025,Hebbal,30
365B,Tata Marcopolo,CNG,35.8,75.24,261.7,2025,Silk Board,13
210N,Ashok Leyland Viking,Diesel,34.3,55.3,188.1,2025,Jayanagar,56
365B,Volvo 9400XL,Diesel,42.2,70.28,215.2,2025,Silk Board,38
96E,Tata Marcopolo,CNG,35.8,30.09,96.7,2025,Electronic City,46
77E,Switch EiV 12,Electric,33.6,0,255.8,2025,KR Puram,72
96E,Tata Marcopolo,CNG,25.6,23.69,94,2025,Electronic City,29
600A,Switch EiV 12,Electric,33.5,0,200.1,2025,Banashankari,58
V500C,Eicher Skyline Pro,CNG,35.2,21.86,75.8,2025,ITPL,62
356C,Ashok Leyland Viking,Diesel,40.1,68.59,209,2025,Majestic,73
12G,Ashok Leyland Viking,Diesel,49.7,33.92,107.9,2025,BTM Layout,26
215K,Volvo 9400XL,Diesel,28.5,65.48,211.4,2025,Kengeri,55
500D,Tata Marcopolo,CNG,37.6,14.87,66.1,2025,Whitefield,52
201R,Switch EiV 12,Electric,26,0,144.5,2025,Yelahanka,61
77E,Eicher Skyline Pro,CNG,34.7,20.62,66.8,2025,KR Puram,61
215K,Eicher Skyline Pro,CNG,43.9,17.65,65.1,2025,Kengeri,18
V500C,Ashok Leyland Viking,Diesel,47.5,46.22,123.6,2025,ITPL,57
252H,Eicher Skyline Pro,CNG,32.8,62.39,270.3,2025,Bommanahalli,70
401A,Volvo 9400XL,Diesel,45.7,48.44,192.6,2025,RT Nagar,78
356C,Switch EiV 12,Electric,49,0,123.4,2025,Majestic,61
96E,Eicher Skyline Pro,CNG,34.6,41.5,145.7,2025,Electronic City,41
K1,Volvo 8400 B7RLE,Diesel,28.9,53.77,179.1,2025,Koramangala,79
V500C,Volvo 8400 B7RLE,Diesel,44,47.78,179.2,2025,ITPL,41
279F,Switch EiV 12,Electric,32.6,0,156.9,2025,Peenya,23
348C,Volvo 8400 B7RLE,Diesel,29.9,45.27,117.1,2025,Marathahalli,59
K1,Eicher Skyline Pro,CNG,31.8,30.41,135.3,2025,Koramangala,73
252H,Eicher Skyline Pro,CNG,33.7,47.2,182.7,2025,Bommanahalli,39
348C,Ashok Leyland Viking,Diesel,36.1,26.34,90.6,2025,Marathahalli,77
279F,Eicher Skyline Pro,CNG,35,37.32,167.6,2025,Peenya,64
60A,Tata Marcopolo,CNG,40.6,65.83,253.7,2025,Indiranagar,10
96E,Ashok Leyland Viking,Diesel,30,63.54,196.5,2025,Electronic City,59
K1,Volvo 9400XL,Diesel,36.9,20.73,68.7,2025,Koramangala,62
V500C,Ashok Leyland Viking,Diesel,49.1,28.49,110.1,2025,ITPL,16
60A,Switch EiV 12,Electric,38.3,0,218.9,2025,Indiranagar,25
290E,Tata Marcopolo,CNG,28.3,60.06,251.4,2025,Mysuru Road,17
290E,Volvo 9400XL,Diesel,44.9,30.03,87.5,2025,Mysuru Road,38
60A,Volvo 8400 B7RLE,Diesel,48.6,92.91,253,2025,Indiranagar,34
43E,Ashok Leyland Viking,Diesel,49.5,50.17,161.8,2025,Hebbal,24
500D,Tata Marcopolo,CNG,39.7,70.17,250,2025,Whitefield,61
96E,Tata Marcopolo,CNG,30.1,29.67,122.9,2025,Electronic City,13
210N,Switch EiV 12,Electric,37.8,0,145,2025,Jayanagar,76
60A,Tata Marcopolo,CNG,39.4,39.15,168.3,2025,Indiranagar,29
213K,Switch EiV 12,Electric,35.2,0,275.8,2025,Banerghatta,60
210N,Volvo 8400 B7RLE,Diesel,44.1,72.05,242.1,2025,Jayanagar,32
365B,Volvo 8400 B7RLE,Diesel,30,101.47,270.3,2025,Silk Board,72
12G,Switch EiV 12,Electric,36,0,247.9,2025,BTM Layout,55
V500C,Switch EiV 12,Electric,47.3,0,246.3,2025,ITPL,63
365B,Eicher Skyline Pro,CNG,47.1,20.07,73.7,2025,Silk Board,41
K1,Switch EiV 12,Electric,40.7,0,172.3,2025,Koramangala,48
201R,Eicher Skyline Pro,CNG,25.5,71,263.8,2025,Yelahanka,11
252H,Tata Marcopolo,CNG,43.1,52.32,211.3,2025,Bommanahalli,11
279F,Eicher Skyline Pro,CNG,32.5,25.32,89.6,2025,Peenya,17
V500C,Eicher Skyline Pro,CNG,32,71.47,237,2025,ITPL,42
213K,Eicher Skyline Pro,CNG,25.2,60.18,270.6,2025,Banerghatta,69
201R,Ashok Leyland Viking,Diesel,45.7,71.01,208.9,2025,Yelahanka,24
96E,Volvo 8400 B7RLE,Diesel,43.4,16.82,63.1,2025,Electronic City,21
279F,Volvo 9400XL,Diesel,28.6,61.4,222.9,2025,Peenya,49
213K,Ashok Leyland Viking,Diesel,41.5,62.81,229.2,2025,Banerghatta,62
201R,Switch EiV 12,Electric,40.3,0,246.1,2025,Yelahanka,79
290E,Tata Marcopolo,CNG,37.2,25.51,79.5,2025,Mysuru Road,56
V500C,Volvo 8400 B7RLE,Diesel,35.2,57.6,149.7,2025,ITPL,51
600A,Tata Marcopolo,CNG,27.8,32.45,136.7,2025,Banashankari,59
60A,Volvo 9400XL,Diesel,26.8,68.27,268.5,2025,Indiranagar,32
60A,Tata Marcopolo,CNG,32.5,56.17,175,2025,Indiranagar,30
500D,Volvo 9400XL,Diesel,44.9,47.77,170.1,2025,Whitefield,55
43E,Tata Marcopolo,CNG,26.8,19.7,71,2025,Hebbal,74
12G,Eicher Skyline Pro,CNG,30.8,36.53,125,2025,BTM Layout,42
201R,Volvo 9400XL,Diesel,48.2,76.2,236.8,2025,Yelahanka,14
215K,Ashok Leyland Viking,Diesel,33,80.66,259.3,2025,Kengeri,14
V500C,Eicher Skyline Pro,CNG,41,24.55,109.7,2025,ITPL,27
213K,Switch EiV 12,Electric,33.9,0,192.8,2025,Banerghatta,14
K1,Volvo 9400XL,Diesel,28.1,52.83,202.5,2025,Koramangala,30
348C,Tata Marcopolo,CNG,36.2,44.01,170.7,2025,Marathahalli,11
60A,Volvo 8400 B7RLE,Diesel,26.8,56.05,197.5,2025,Indiranagar,71
V500C,Ashok Leyland Viking,Diesel,42.8,30.32,113.2,2025,ITPL,17
201R,Volvo 8400 B7RLE,Diesel,38.8,72.22,236.9,2025,Yelahanka,61
12G,Tata Marcopolo,CNG,44.4,26.83,91.4,2025,BTM Layout,58
210N,Volvo 8400 B7RLE,Diesel,32.1,62.69,169.3,2025,Jayanagar,79
252H,Switch EiV 12,Electric,26.4,0,198.5,2025,Bommanahalli,59
279F,Ashok Leyland Viking,Diesel,32.9,89.87,224.7,2025,Peenya,64
77E,Volvo 8400 B7RLE,Diesel,26.2,59.16,172.4,2025,KR Puram,71
365B,Ashok Leyland Viking,Diesel,26.6,57.33,215.5,2025,Silk Board,73
401A,Volvo 8400 B7RLE,Diesel,31.2,16.84,60.8,2025,RT Nagar,44
252H,Volvo 8400 B7RLE,Diesel,27.5,42.63,129.6,2025,Bommanahalli,26
K1,Tata Marcopolo,CNG,46.1,34.44,119.5,2025,Koramangala,18
279F,Volvo 8400 B7RLE,Diesel,47.3,74.14,233.6,2025,Peenya,11
96E,Switch EiV 12,Electric,34.4,0,260.2,2025,Electronic City,75
279F,Eicher Skyline Pro,CNG,27.2,67.51,272.1,2025,Peenya,66
600A,Tata Marcopolo,CNG,34.7,42.69,168.6,2025,Banashankari,27
96E,Eicher Skyline Pro,CNG,25.1,66.08,214.8,2025,Electronic City,59
215K,Switch EiV 12,Electric,41.7,0,216.9,2025,Kengeri,18
600A,Ashok Leyland Viking,Diesel,44,69.41,272.5,2025,Banashankari,64
215K,Eicher Skyline Pro,CNG,32.5,67.95,214.6,2025,Kengeri,14
201R,Switch EiV 12,Electric,41.1,0,232,2025,Yelahanka,43
77E,Volvo 8400 B7RLE,Diesel,34,17.94,70.6,2025,KR Puram,78
96E,Volvo 9400XL,Diesel,35.8,53.38,170.1,2025,Electronic City,68
V500C,Tata Marcopolo,CNG,34.2,29.82,106,2025,ITPL,37
290E,Tata Marcopolo,CNG,44.2,19.73,71.5,2025,Mysuru Road,30
12G,Volvo 9400XL,Diesel,46.3,85.49,240.9,2025,BTM Layout,17
60A,Ashok Leyland Viking,Diesel,36.8,53.56,204.6,2025,Indiranagar,47
356C,Eicher Skyline Pro,CNG,41.9,27.48,107.5,2025,Majestic,41
12G,Volvo 9400XL,Diesel,28.4,35.95,125,2025,BTM Layout,29
600A,Volvo 9400XL,Diesel,32.9,64.17,222.5,2025,Banashankari,43
290E,Ashok Leyland Viking,Diesel,42.8,52.49,146.9,2025,Mysuru Road,20
290E,Volvo 9400XL,Diesel,32.2,83.82,255.8,2025,Mysuru Road,40
77E,Tata Marcopolo,CNG,27.8,19.29,72.8,2025,KR Puram,30
V500C,Eicher Skyline Pro,CNG,45.9,39.34,118.9,2025,ITPL,13
500D,Volvo 8400 B7RLE,Diesel,33.4,56.7,143.4,2025,Whitefield,21
77E,Switch EiV 12,Electric,35.3,0,87.4,2025,KR Puram,18
213K,Ashok Leyland Viking,Diesel,35.1,51.09,168.4,2025,Banerghatta,49
348C,Tata Marcopolo,CNG,25.2,51.65,190.9,2025,Marathahalli,29
V500C,Tata Marcopolo,CNG,38,67.72,272,2025,ITPL,60
96E,Switch EiV 12,Electric,44.3,0,128.6,2025,Electronic City,56
348C,Volvo 9400XL,Diesel,38,58.02,230,2025,Marathahalli,68
290E,Volvo 8400 B7RLE,Diesel,25.4,23.97,87.6,2025,Mysuru Road,59
60A,Volvo 8400 B7RLE,Diesel,28,81.98,237.6,2025,Indiranagar,55
356C,Volvo 9400XL,Diesel,32.3,17.46,63.9,2025,Majestic,33
96E,Switch EiV 12,Electric,33.7,0,174,2025,Electronic City,52
12G,Switch EiV 12,Electric,25,0,141.8,2025,BTM Layout,49
210N,Volvo 8400 B7RLE,Diesel,41.2,31.81,126,2025,Jayanagar,26
252H,Ashok Leyland Viking,Diesel,25.6,64.04,246.4,2025,Bommanahalli,35
K1,Ashok Leyland Viking,Diesel,44.5,72.89,232.3,2025,Koramangala,24
290E,Volvo 9400XL,Diesel,32.6,56.8,147.6,2025,Mysuru Road,61
252H,Volvo 9400XL,Diesel,31.2,34.16,110.2,2025,Bommanahalli,39
V500C,Switch EiV 12,Electric,36.8,0,224.4,2025,ITPL,42
12G,Tata Marcopolo,CNG,48.9,16.47,72.7,2025,BTM Layout,67
12G,Switch EiV 12,Electric,49.8,0,232.7,2025,BTM Layout,65
290E,Switch EiV 12,Electric,49.1,0,179.8,2025,Mysuru Road,65
96E,Eicher Skyline Pro,CNG,34.1,22.95,76.6,2025,Electronic City,56
V500C,Tata Marcopolo,CNG,28.5,26.21,103.1,2025,ITPL,28
K1,Volvo 9400XL,Diesel,39.5,85.24,231.9,2025,Koramangala,54
500D,Volvo 8400 B7RLE,Diesel,40.9,77.35,238.4,2025,Whitefield,57
201R,Volvo 9400XL,Diesel,31.5,69.02,208.3,2025,Yelahanka,60
348C,Switch EiV 12,Electric,32.3,0,261.8,2025,Marathahalli,56
V500C,Ashok Leyland Viking,Diesel,47.3,45.88,163.4,2025,ITPL,74
213K,Tata Marcopolo,CNG,28.7,24.47,73.7,2025,Banerghatta,70
600A,Volvo 8400 B7RLE,Diesel,36.2,73.59,198.8,2025,Banashankari,69
96E,Switch EiV 12,Electric,38.2,0,270.7,2025,Electronic City,33
12G,Ashok Leyland Viking,Diesel,37.5,32.16,113.2,2025,BTM Layout,45
356C,Ashok Leyland Viking,Diesel,31.9,20.7,76.8,2025,Majestic,34
213K,Eicher Skyline Pro,CNG,38.7,44.15,161.1,2025,Banerghatta,40
201R,Switch EiV 12,Electric,29.1,0,69.7,2025,Yelahanka,73
213K,Switch EiV 12,Electric,30.2,0,158,2025,Banerghatta,26
12G,Eicher Skyline Pro,CNG,46.1,15.88,71,2025,BTM Layout,24
348C,Volvo 8400 B7RLE,Diesel,46.3,81.91,234.5,2025,Marathahalli,24
210N,Eicher Skyline Pro,CNG,29.9,61.28,271.3,2025,Jayanagar,66
401A,Volvo 9400XL,Diesel,42.8,70.22,278.9,2025,RT Nagar,19
215K,Volvo 8400 B7RLE,Diesel,31.5,58.72,185.3,2025,Kengeri,69
252H,Volvo 8400 B7RLE,Diesel,26.8,55.51,190.6,2025,Bommanahalli,15
213K,Tata Marcopolo,CNG,29.8,65.86,275.9,2025,Banerghatta,38
401A,Ashok Leyland Viking,Diesel,48.6,65.91,259.7,2025,RT Nagar,14
V500C,Tata Marcopolo,CNG,49.4,42.24,174.7,2025,ITPL,69
348C,Eicher Skyline Pro,CNG,36.9,23.45,95.6,2025,Marathahalli,10
96E,Tata Marcopolo,CNG,41,28.6,114.4,2025,Electronic City,60
500D,Volvo 9400XL,Diesel,39.1,26.19,95.8,2025,Whitefield,75
252H,Volvo 8400 B7RLE,Diesel,25.3,67.55,169.8,2025,Bommanahalli,51
210N,Eicher Skyline Pro,CNG,48.2,41.43,138.5,2025,Jayanagar,33
252H,Switch EiV 12,Electric,30.6,0,199.6,2025,Bommanahalli,77
401A,Eicher Skyline Pro,CNG,46.2,31.95,130.8,2025,RT Nagar,50
356C,Volvo 8400 B7RLE,Diesel,35.7,31.84,81,2025,Majestic,27
V500C,Volvo 8400 B7RLE,Diesel,41.6,61.92,165.8,2025,ITPL,43
252H,Volvo 8400 B7RLE,Diesel,34.9,31.86,123.6,2025,Bommanahalli,17
96E,Switch EiV 12,Electric,26.1,0,278.5,2025,Electronic City,68
201R,Volvo 8400 B7RLE,Diesel,34.3,73.62,227.4,2025,Yelahanka,14
K1,Tata Marcopolo,CNG,48,51.03,225.9,2025,Koramangala,21
96E,Switch EiV 12,Electric,33.9,0,187,2025,Electronic City,76
77E,Switch EiV 12,Electric,31.3,0,233.3,2025,KR Puram,73
279F,Ashok Leyland Viking,Diesel,34,52.83,184.1,2025,Peenya,22
600A,Volvo 8400 B7RLE,Diesel,29.8,29.12,112.9,2025,Banashankari,79
279F,Tata Marcopolo,CNG,37.6,24.74,82.4,2025,Peenya,62
V500C,Ashok Leyland Viking,Diesel,25.9,24.83,68.6,2025,ITPL,53
12G,Eicher Skyline Pro,CNG,32.1,56.65,250.7,2025,BTM Layout,76
60A,Ashok Leyland Viking,Diesel,35.9,55.78,188,2025,Indiranagar,70
348C,Volvo 9400XL,Diesel,44,59.41,173.7,2025,Marathahalli,10
77E,Volvo 9400XL,Diesel,47.4,35.13,137.7,2025,KR Puram,73
365B,Eicher Skyline Pro,CNG,35.5,61.48,256.4,2025,Silk Board,32
210N,Tata Marcopolo,CNG,37.4,49.83,164.8,2025,Jayanagar,39
365B,Tata Marcopolo,CNG,29.7,54.33,190,2025,Silk Board,70
500D,Switch EiV 12,Electric,30.2,0,248.1,2025,Whitefield,34
213K,Volvo 9400XL,Diesel,26.7,19.35,75.7,2025,Banerghatta,71
213K,Ashok Leyland Viking,Diesel,35.2,46.15,171.5,2025,Banerghatta,36
600A,Ashok Leyland Viking,Diesel,33.3,68.89,243.9,2025,Banashankari,59
356C,Switch EiV 12,Electric,41.4,0,229.6,2025,Majestic,12
290E,Switch EiV 12,Electric,46.9,0,93.4,2025,Mysuru Road,61
348C,Tata Marcopolo,CNG,32.1,49.1,178.6,2025,Marathahalli,53
365B,Ashok Leyland Viking,Diesel,28.2,18.72,68.3,2025,Silk Board,65
290E,Tata Marcopolo,CNG,35.4,15.86,60,2025,Mysuru Road,36
60A,Volvo 8400 B7RLE,Diesel,49.3,25.36,72,2025,Indiranagar,48
12G,Switch EiV 12,Electric,32.6,0,126.9,2025,BTM Layout,21
348C,Eicher Skyline Pro,CNG,25,27.04,110.7,2025,Marathahalli,34
12G,Ashok Leyland Viking,Diesel,30.6,78.04,272.7,2025,BTM Layout,79
210N,Switch EiV 12,Electric,46.2,0,223.2,2025,Jayanagar,44
96E,Switch EiV 12,Electric,32.6,0,153,2025,Electronic City,30
60A,Tata Marcopolo,CNG,42.8,31.15,131.6,2025,Indiranagar,63
43E,Ashok Leyland Viking,Diesel,34.3,25.95,100,2025,Hebbal,57
96E,Switch EiV 12,Electric,49.6,0,237.5,2025,Electronic City,11
500D,Switch EiV 12,Electric,34.8,0,225.9,2025,Whitefield,31
